date,symbol,open,high,low,close,volume,values
2023-11-14,2330,576.00,576.00,571.00,572.00,25366980.00,14553766501.00
2023-11-15,2330,583.00,583.00,575.00,581.00,53122455.00,30807985243.00
2023-11-16,2330,581.00,583.00,578.00,583.00,31059487.00,18056972159.00
2023-11-17,2330,579.00,583.00,579.00,580.00,22878229.00,13295351545.00
2023-11-20,2330,576.00,579.00,575.00,577.00,26606128.00,15343389700.00
2023-11-21,2330,582.00,585.00,581.00,585.00,39880714.00,23286785359.00
2023-11-22,2330,576.00,579.00,574.00,577.00,23922047.00,13783944507.00
2023-11-23,2330,574.00,578.00,574.00,578.00,15143501.00,8714906968.00
2023-11-24,2330,577.00,578.00,574.00,575.00,12503334.00,7192811445.00
2023-11-27,2330,573.00,577.00,568.00,568.00,20321872.00,11598721713.00
2023-11-28,2330,565.00,576.00,565.00,575.00,26932029.00,15393289150.00
2023-11-29,2330,578.00,579.00,570.00,574.00,27786565.00,15937354487.00
2023-11-30,2330,576.00,577.00,570.00,577.00,54365027.00,31284297816.00
2023-12-01,2330,573.00,579.00,573.00,579.00,28797795.00,16600169332.00
2023-12-04,2330,582.00,582.00,571.00,574.00,29424299.00,16917950637.00
2023-12-05,2330,571.00,572.00,567.00,570.00,27355530.00,15570195609.00
2023-12-06,2330,568.00,575.00,568.00,570.00,23116422.00,13197098680.00
2023-12-07,2330,570.00,573.00,566.00,566.00,24259384.00,13786125780.00
2023-12-08,2330,574.00,577.00,570.00,570.00,39243978.00,22520643109.00
2023-12-11,2330,572.00,575.00,570.00,574.00,29204446.00,16730528425.00
2023-12-12,2330,580.00,581.00,575.00,578.00,32856787.00,19003744361.00
2023-12-13,2330,576.00,579.00,576.00,577.00,24327758.00,14033215240.00
2023-12-14,2330,581.00,582.00,579.00,582.00,40580966.00,23556973793.00
2023-12-15,2330,585.00,586.00,580.00,585.00,58693166.00,34304458160.00
2023-12-18,2330,579.00,585.00,577.00,585.00,26938728.00,15672718097.00
2023-12-19,2330,588.00,588.00,580.00,585.00,30591879.00,17885392353.00
2023-12-20,2330,587.00,587.00,583.00,585.00,38628249.00,22578626040.00
2023-12-21,2330,577.00,579.00,575.00,577.00,26007263.00,14995966443.00
2023-12-22,2330,582.00,582.00,579.00,582.00,19328302.00,11226845287.00
2023-12-25,2330,582.00,585.00,580.00,581.00,9994163.00,5820235840.00
2023-12-26,2330,583.00,586.00,582.00,586.00,17033926.00,9963615754.00
2023-12-27,2330,587.00,592.00,586.00,592.00,34750958.00,20491144772.00
2023-12-28,2330,592.00,593.00,589.00,593.00,27152352.00,16064106365.00
2023-12-29,2330,589.00,593.00,589.00,593.00,20155619.00,11931171966.00
2024-01-02,2330,590.00,593.00,589.00,593.00,27997826.00,16549619798.00
2024-01-03,2330,584.00,585.00,576.00,578.00,40134497.00,23267025945.00
2024-01-04,2330,580.00,581.00,577.00,580.00,18063758.00,10466284102.00
2024-01-05,2330,578.00,580.00,574.00,576.00,22008878.00,12685460114.00
2024-01-08,2330,582.00,585.00,579.00,583.00,19270119.00,11232942053.00
2024-01-09,2330,588.00,589.00,583.00,586.00,23718766.00,13909252422.00
2024-01-10,2330,581.00,586.00,580.00,584.00,13708117.00,8006229126.00
2024-01-11,2330,586.00,589.00,583.00,586.00,27842729.00,16323168586.00
2024-01-12,2330,581.00,588.00,581.00,584.00,17636558.00,10304253419.00
2024-01-15,2330,590.00,590.00,585.00,586.00,21900687.00,12873769022.00
2024-01-16,2330,581.00,588.00,579.00,580.00,28889681.00,16817280777.00
2024-01-17,2330,583.00,584.00,578.00,581.00,46857735.00,27229863028.00
2024-01-18,2330,586.00,589.00,585.00,588.00,36746623.00,21575062923.00
2024-01-19,2330,625.00,627.00,614.00,626.00,176166037.00,109423769320.00
2024-01-22,2330,633.00,633.00,623.00,626.00,70829523.00,44436449501.00
2024-01-23,2330,629.00,629.00,622.00,628.00,45761889.00,28681559251.00
2024-01-24,2330,628.00,630.00,624.00,627.00,29905121.00,18779693566.00
2024-01-25,2330,635.00,642.00,633.00,642.00,59214638.00,37803501446.00
2024-01-26,2330,644.00,646.00,639.00,644.00,44103850.00,28392638215.00
2024-01-29,2330,646.00,648.00,644.00,648.00,29828008.00,19268444564.00
2024-01-30,2330,642.00,647.00,642.00,642.00,40398877.00,26028211247.00
